label,bit,carton_pk,SDSSC2VB,program,version,v1,name,mapper,alt_program,alt_name
bhm_spiders_agn_gaiadr3_1.0.37,340,1505,1,bhm_spiders,1.0.37,10.37,bhm_spiders_agn_gaiadr3,bhm,spiders,bhm_spiders
bhm_spiders_agn_tda_1.0.37,341,1506,1,bhm_spiders,1.0.37,10.37,bhm_spiders_agn_tda,bhm,spiders,bhm_spiders
bhm_spiders_agn_sep_1.0.37,342,1507,1,bhm_spiders,1.0.37,10.37,bhm_spiders_agn_sep,bhm,spiders,bhm_spiders
bhm_aqmes_med_1.0.37,343,1508,1,bhm_aqmes,1.0.37,10.37,bhm_aqmes_med,bhm,aqmes,bhm_aqmes
bhm_aqmes_med_faint_1.0.37,344,1509,1,bhm_filler,1.0.37,10.37,bhm_aqmes_med_faint,bhm,filler,bhm_aqmes
bhm_aqmes_wide2_1.0.37,345,1510,1,bhm_aqmes,1.0.37,10.37,bhm_aqmes_wide2,bhm,aqmes,bhm_aqmes
bhm_aqmes_wide2_faint_1.0.37,346,1511,1,bhm_filler,1.0.37,10.37,bhm_aqmes_wide2_faint,bhm,filler,bhm_aqmes
bhm_aqmes_bonus_core_1.0.37,347,1515,1,bhm_filler,1.0.37,10.37,bhm_aqmes_bonus_core,bhm,filler,bhm_aqmes
bhm_aqmes_bonus_bright_1.0.37,348,1516,1,bhm_filler,1.0.37,10.37,bhm_aqmes_bonus_bright,bhm,filler,bhm_aqmes
bhm_aqmes_bonus_faint_1.0.37,349,1517,1,bhm_filler,1.0.37,10.37,bhm_aqmes_bonus_faint,bhm,filler,bhm_aqmes
manual_mwm_crosscalib_apogee_1.0.35,350,1525,1,mwm_validation,1.0.35,10.35,manual_mwm_crosscalib_apogee,mwm,validation,mwm_crosscalib
manual_mwm_crosscalib_yso_apogee_1.0.35,351,1526,1,mwm_validation,1.0.35,10.35,manual_mwm_crosscalib_yso_apogee,mwm,validation,mwm_crosscalib_yso
manual_mwm_crosscalib_yso_boss_1.0.35,352,1527,1,mwm_validation,1.0.35,10.35,manual_mwm_crosscalib_yso_boss,mwm,validation,mwm_crosscalib_yso
manual_mwm_halo_distant_bhb_boss_1.0.35,353,1528,1,mwm_halo,1.0.35,10.35,manual_mwm_halo_distant_bhb_boss,mwm,halo,manual_mwm_halo_distant_bhb
manual_mwm_halo_distant_bhb_boss_single_1.0.35,354,1529,1,mwm_halo,1.0.35,10.35,manual_mwm_halo_distant_bhb_boss_single,mwm,halo,manual_mwm_halo_distant_bhb
manual_mwm_halo_distant_kgiant_far_boss_1.0.35,355,1530,1,mwm_halo,1.0.35,10.35,manual_mwm_halo_distant_kgiant_far_boss,mwm,halo,manual_mwm_halo_distant_kgiant
manual_mwm_halo_distant_kgiant_far_boss_single_1.0.35,356,1531,1,mwm_halo,1.0.35,10.35,manual_mwm_halo_distant_kgiant_far_boss_single,mwm,halo,manual_mwm_halo_distant_kgiant
manual_mwm_halo_distant_kgiant_near_boss_1.0.35,357,1532,1,mwm_halo,1.0.35,10.35,manual_mwm_halo_distant_kgiant_near_boss,mwm,halo,manual_mwm_halo_distant_kgiant
manual_mwm_halo_distant_kgiant_near_boss_single_1.0.35,358,1533,1,mwm_halo,1.0.35,10.35,manual_mwm_halo_distant_kgiant_near_boss_single,mwm,halo,manual_mwm_halo_distant_kgiant
