label,bit,carton_pk,SDSSC2BV,program,version,v1,name,mapper,alt_program,alt_name
openfibertargets_nov2020_12_1.0.7,275,1322,4,open_fiber,1.0.7,10.07,openfibertargets_nov2020_12,open,open_fiber,mwm_bin_openfiber
openfibertargets_nov2020_14_1.0.7,276,1323,4,open_fiber,1.0.7,10.07,openfibertargets_nov2020_14,open,open_fiber,mwm_bin_openfiber
openfibertargets_nov2020_15_1.0.7,277,1324,4,open_fiber,1.0.7,10.07,openfibertargets_nov2020_15,open,open_fiber,mwm_cluster_openfiber
openfibertargets_nov2020_22_1.0.7,278,1325,4,open_fiber,1.0.7,10.07,openfibertargets_nov2020_22,open,open_fiber,mwm_bin_openfiber
openfibertargets_nov2020_24_1.0.7,279,1326,4,open_fiber,1.0.7,10.07,openfibertargets_nov2020_24,open,open_fiber,mwm_snc_openfiber
openfibertargets_nov2020_29_1.0.7,280,1327,4,open_fiber,1.0.7,10.07,openfibertargets_nov2020_29,open,open_fiber,mwm_cluster_openfiber
openfibertargets_nov2020_3_1.0.7,281,1328,4,open_fiber,1.0.7,10.07,openfibertargets_nov2020_3,open,open_fiber,mwm_bin_openfiber
openfibertargets_nov2020_31_1.0.7,282,1329,4,open_fiber,1.0.7,10.07,openfibertargets_nov2020_31,open,open_fiber,mwm_validation_openfiber
openfibertargets_nov2020_34a_1.0.7,283,1330,4,open_fiber,1.0.7,10.07,openfibertargets_nov2020_34a,open,open_fiber,mwm_openfiber
openfibertargets_nov2020_34b_1.0.7,284,1331,4,open_fiber,1.0.7,10.07,openfibertargets_nov2020_34b,open,open_fiber,mwm_openfiber
openfibertargets_nov2020_35b_1.0.7,285,1332,4,open_fiber,1.0.7,10.07,openfibertargets_nov2020_35b,open,open_fiber,mwm_halo_openfiber
openfibertargets_nov2020_35c_1.0.7,286,1333,4,open_fiber,1.0.7,10.07,openfibertargets_nov2020_35c,open,open_fiber,mwm_halo_openfiber
openfibertargets_nov2020_46_1.0.7,287,1334,4,open_fiber,1.0.7,10.07,openfibertargets_nov2020_46,open,open_fiber,mwm_bin_openfiber
openfibertargets_nov2020_5_1.0.7,288,1335,4,open_fiber,1.0.7,10.07,openfibertargets_nov2020_5,open,open_fiber,mwm_halo_openfiber
openfibertargets_nov2020_6a_1.0.7,289,1336,4,open_fiber,1.0.7,10.07,openfibertargets_nov2020_6a,open,open_fiber,mwm_halo_openfiber
openfibertargets_nov2020_6b_1.0.7,290,1337,4,open_fiber,1.0.7,10.07,openfibertargets_nov2020_6b,open,open_fiber,mwm_halo_openfiber
openfibertargets_nov2020_6c_1.0.7,291,1338,4,open_fiber,1.0.7,10.07,openfibertargets_nov2020_6c,open,open_fiber,mwm_halo_openfiber
openfibertargets_nov2020_8_1.0.7,292,1339,4,open_fiber,1.0.7,10.07,openfibertargets_nov2020_8,open,open_fiber,mwm_cluster_openfiber
openfibertargets_nov2020_9_1.0.7,293,1340,4,open_fiber,1.0.7,10.07,openfibertargets_nov2020_9,open,open_fiber,mwm_cluster_openfiber
openfibertargets_nov2020_28a_1.0.7,294,1344,4,open_fiber,1.0.7,10.07,openfibertargets_nov2020_28a,open,open_fiber,manual_mwm_halo_distant_kgiant
openfibertargets_nov2020_33_1.0.10,295,1358,4,open_fiber,1.0.10,10.1,openfibertargets_nov2020_33,open,open_fiber,bhm_openfiber
bhm_rm_core_1.0.12,296,1359,4,bhm_rm,1.0.12,10.12,bhm_rm_core,bhm,rm,bhm_rm
bhm_rm_known_spec_1.0.12,297,1360,4,bhm_rm,1.0.12,10.12,bhm_rm_known_spec,bhm,rm,bhm_rm
